"Genotype","Treatment","mean","median","var","n","sd","se"
"41","EtOH",10.5853658536585,10.4291666666667,1.04879554351099,82,1.02410719336942,0.113093720228013
"41","Rapa",14.3764367816092,12.5541666666667,19.2460596684479,58,4.38703312825968,0.576045670909209
"42","EtOH",8.86340579710145,8.59583333333333,2.78401227858293,46,1.66853596862127,0.246012207128327
"42","Rapa",8.56765536723164,7.72083333333333,3.46408904393142,59,1.86120634104105,0.242308426650739
"426","EtOH",9.7614406779661,9.58333333333333,3.07908620283785,59,1.75473251603709,0.228446715325509
"426","Rapa",11.4366319444444,11.5416666666667,0.667027894749803,48,0.816717757092255,0.11788305422729
"427","EtOH",8.91035539215686,8.6375,0.785105580985489,102,0.886061838127277,0.0877331951947119
"427","Rapa",12.3450757575758,10.5958333333333,8.64980501977007,77,2.94105508615022,0.335164333017229
"437","EtOH",9.28717447916667,9.67916666666667,0.839465581882767,96,0.916223543619551,0.0935116738413561
"437","Rapa",10.0568055555556,9.67916666666667,0.489476611267166,90,0.699626051020948,0.0737470610538455
"440","EtOH",9.37434309309309,8.6375,1.22967053203772,111,1.10890510506432,0.105252614700257
"440","Rapa",9.91447463768116,9.58333333333333,2.07280753864205,115,1.43972481351196,0.134255031114279
"441","EtOH",6.9070162835249,6.43541666666667,1.21405504228667,87,1.10184165935341,0.118129825439926
"441","Rapa",6.83631272401434,6.43541666666667,0.926673969452885,93,0.962639064994188,0.0998210209859436
"443","EtOH",10.1796875,9.58333333333333,3.56186356371252,64,1.88729000519595,0.235911250649494
"443","Rapa",14.244417989418,11.5125,30.7979597084436,63,5.54959094965057,0.699182739567152
"45","EtOH",9.26151662348877,9.46916666666667,0.679164212828434,1158,0.824114198899906,0.0242177123840401
"45","Rapa",11.3277967625899,10.7208333333333,4.20711959947066,417,2.05112642210827,0.100444093037215
"461","EtOH",11.0422043010753,10.7208333333333,1.31598627181705,93,1.14716444846284,0.118955411896803
"461","Rapa",14.1874729437229,13.6375,7.09937916820935,77,2.66446601933846,0.303644083520928
"486","EtOH",7.64736328125,7.45833333333333,0.323374289322572,64,0.568660082406504,0.071082510300813
"486","Rapa",7.70303442028986,7.45833333333333,0.616918924869163,46,0.785441866002292,0.115807085169331
"491","EtOH",8.71681726907631,8.625,1.18502771247592,83,1.0885897815412,0.119488251803209
"491","Rapa",13.9161111111111,13.6375,5.12863806216931,15,2.26464965550288,0.584730026717134
"492","EtOH",9.83958333333333,9.67916666666667,0.728423368863049,44,0.853477222228601,0.12866653242032
"492","Rapa",12.0756944444444,11.5125,2.10608550039401,48,1.45123585277997,0.209467852565038
"502","EtOH",10.35,9.58333333333333,1.1411230022831,74,1.06823358975605,0.124179632435975
"502","Rapa",12.4554964539007,12.5833333333333,2.05027257426251,47,1.43187729022515,0.20886076876472
"505","EtOH",9.1525462962963,8.6375,1.08727517361111,81,1.0427248791561,0.115858319906234
"505","Rapa",9.56518817204301,8.6375,2.71746240759409,93,1.64847275003079,0.170938661186136
"508","EtOH",8.34930392156863,8.5,0.420620677861422,85,0.648552756421112,0.0703454231849916
"508","Rapa",10.7541666666667,10.4645833333333,2.4143791754571,80,1.55382726693063,0.17372316970748
"517","EtOH",9.37563492063492,9.58333333333333,0.623788989367114,105,0.789803133297858,0.077076893540036
"517","Rapa",15.2451161202186,14.75,23.7939010250645,61,4.87789924302097,0.62455099970344
"528","EtOH",8.94815476190476,8.47083333333333,9.63830748862045,35,3.10456236668237,0.524766818654328
"528","Rapa",12.5753240740741,10.4708333333333,19.4317870019641,45,4.40815006572645,0.657128213465633
"530","EtOH",9.45833333333333,9.58333333333333,0.440564123376623,78,0.663750045858095,0.0751548933337543
"530","Rapa",11.0552536231884,10.7208333333333,0.430292918797954,69,0.655967162896096,0.0789691665014983
"531","EtOH",8.09592803030303,7.96458333333333,1.54657520884719,44,1.24361376996525,0.187481829958823
"531","Rapa",11.3762586805556,10.4708333333333,5.26078895899515,48,2.29364098302135,0.331058559742934
"535","EtOH",10.9087719298246,10.7208333333333,0.923315408423541,95,0.960893026524566,0.0985855443883791
"535","Rapa",10.8502859477124,10.7208333333333,1.40233197875547,102,1.1842009874829,0.117253369814674
"551","EtOH",9.99229910714286,9.58333333333333,0.470737365434631,112,0.686103028294316,0.064830642379824
"551","Rapa",12.0103316326531,11.5416666666667,3.7805237792067,98,1.94435690633348,0.196409707645043
"555","EtOH",9.12825854700855,8.6375,0.64170844491157,78,0.801067066425509,0.0907029842123187
"555","Rapa",9.30401422764228,9.58333333333333,0.570207238135268,82,0.755120677862332,0.0833891288270099
"559","EtOH",9.87780172413793,9.58333333333333,4.60761719537709,58,2.14653609226053,0.281853997279378
"559","Rapa",10.9442176870748,10.7208333333333,4.08120935787509,49,2.02020032617439,0.288600046596341
"566","EtOH",10.1971518987342,9.58333333333333,0.956883255120992,79,0.978204096863733,0.110056559401765
"566","Rapa",11.4142071759259,10.7208333333333,5.81389088497517,72,2.41120112910043,0.284162778198595
"57","EtOH",9.9653233151184,9.625,8.5484428397953,183,2.92377202254131,0.216131447048441
"57","Rapa",16.4492329545455,14.5125,36.0640968533438,132,6.00533902900942,0.522697670694613
"584","EtOH",8.0528125,8.47083333333333,0.502187445198513,100,0.708651850486904,0.0708651850486904
"584","Rapa",9.05745018115942,8.47083333333333,1.53437559463672,92,1.23869915420845,0.129143314166384
"589","EtOH",10.0939791666667,10.4645833333333,0.419038553503788,100,0.647331872769902,0.0647331872769902
"589","Rapa",11.5543170103093,11.4645833333333,0.632435460740621,97,0.795258109509498,0.0807462271781881
"59","EtOH",9.93985148514851,9.6375,0.341768894389439,101,0.584610036168931,0.0581708727758094
"59","Rapa",11.2305555555556,10.4583333333333,6.45616041823073,75,2.54089756153819,0.293397578227468
"595","EtOH",9.15372023809524,9.41666666666667,0.970032151875902,56,0.984902102686304,0.13161307956305
"595","Rapa",11.4130208333333,11.4645833333333,0.730092741523693,52,0.854454645679742,0.118491539906028
"627","EtOH",9.44010942760943,9.58333333333333,0.780964280703864,99,0.883721834461424,0.0888173861803973
"627","Rapa",10.895462962963,10.7208333333333,1.98447044492995,90,1.40871233576268,0.148491318299531
"630","EtOH",10.2279803240741,9.41666666666667,3.72842610846891,72,1.93091328351868,0.227560312776541
"630","Rapa",14.2976142473118,14.39375,2.45821704900589,62,1.56787022709339,0.199119717960679
"634","EtOH",9.83416666666667,9.58333333333333,1.47302250957854,30,1.21368138717645,0.2215868911269
"634","Rapa",11.5666666666667,11.5416666666667,3.81005621693122,22,1.95193652994436,0.416154266464821
"646","EtOH",11.6591621863799,10.4645833333333,11.9979908419936,93,3.46381160601924,0.359180531508857
"646","Rapa",11.137106918239,10.4645833333333,5.50006995469481,53,2.34522279425534,0.322141125604233
"69","EtOH",11.8643081761006,11.4645833333333,0.706143836427592,53,0.840323649808568,0.115427330437126
"69","Rapa",12.0710526315789,11.4645833333333,1.11641937689275,57,1.05660748477983,0.139951080230799
"705","EtOH",8.16196338383838,8.47083333333333,1.04745717289077,66,1.02345355189709,0.125978423651107
"705","Rapa",9.22738575268817,8.47083333333333,3.04169567491664,62,1.74404577775832,0.221494035269453
"712","EtOH",10.0542857142857,9.58333333333333,1.77280191798942,70,1.33146607842236,0.159140634928868
"712","Rapa",10.355505952381,9.58333333333333,1.91921024126267,84,1.38535563710647,0.151154692177956
"716","EtOH",10.0308096590909,10.5416666666667,0.542316588274084,88,0.736421474614968,0.0785027929637831
"716","Rapa",11.2721146953405,11.5416666666667,1.17184127127325,93,1.08251617598687,0.112251698326269
"721","EtOH",8.13388605442177,7.70833333333333,0.531939303320125,98,0.729341691746828,0.0736746365766072
"721","Rapa",11.4425833333333,10.4166666666667,5.48513879993758,90,2.34203731822052,0.246872409689647
"73","EtOH",9.52188596491228,9.625,1.51120640086475,95,1.22931135228824,0.126124683542026
"73","Rapa",12.1875,11.5833333333333,4.34275939542484,86,2.08392883645887,0.224715825593975
"738","EtOH",10.8644650900901,10.0054166666667,7.0631219916299,74,2.65765347470845,0.308945941034164
"738","Rapa",13.4323734177215,12.4770833333333,7.37703575656353,79,2.71606991010238,0.305581739392542
"75","EtOH",9.3567803030303,9.625,0.529976382228246,110,0.727994767995104,0.0694115776449856
"75","Rapa",12.2600440705128,11.5833333333333,2.83401354476223,104,1.68345286383737,0.165076134671546
"761","EtOH",10.953912835249,10.5416666666667,0.601306695560085,87,0.77543967886618,0.0831358599723026
"761","Rapa",11.262931547619,10.5416666666667,2.78447470937049,56,1.66867453668188,0.22298601451062
"765","EtOH",9.22577380952381,9.67916666666667,1.83575787180814,70,1.35490142512588,0.161941694613839
"765","Rapa",9.83993055555556,9.67916666666667,4.84758583791787,78,2.2017233790642,0.249296081765363
"776","EtOH",9.05024216524217,9.46916666666667,0.308003544777647,117,0.554980670634254,0.0513079811503383
"776","Rapa",15.0314166666667,14.4658333333333,8.36221761574074,55,2.89174992275279,0.389923480039604
"783","EtOH",10.5692238562091,10.5416666666667,0.524109254810285,102,0.723953903788276,0.0716821179064333
"783","Rapa",12.640927672956,11.5416666666667,9.40550172704,53,3.06683904485384,0.421262740740982
"790","EtOH",10.157244047619,10.5416666666667,1.44132706971043,70,1.20055281837595,0.143493507553997
"790","Rapa",13.3453311965812,11.5416666666667,21.3217117340962,39,4.61754390711081,0.739398780959583
"796","EtOH",9.64834112149533,9.46916666666667,0.559774089299359,107,0.748180519192634,0.0723293408296649
"796","Rapa",14.5333333333333,14.5333333333333,1.26208912037037,4,1.12342739879815,0.561713699399073
"799","EtOH",9.51971726190476,9.41666666666667,0.625328592848124,56,0.790777208098542,0.105672049356228
"799","Rapa",12.4772756410256,12.5570833333333,1.1825939039305,39,1.08747133476267,0.1741347771515
"804","EtOH",10.1839733676976,9.46916666666667,3.47470500601076,97,1.86405606300099,0.189266217516213
"804","Rapa",10.8841710526316,9.46916666666667,12.7468549626726,95,3.57027379379686,0.366302362345252
"805","EtOH",10.957123655914,10.7083333333333,0.238716157399291,93,0.488585875153274,0.0506639951261536
"805","Rapa",13.8134205426357,13.5125,2.79301800229943,43,1.67123248002767,0.254860563897633
"812","EtOH",9.28687169312169,9.46916666666667,0.781039913043323,63,0.883764625363181,0.111343876963197
"812","Rapa",10.100988700565,10.5416666666667,0.994994276211117,59,0.997493998082754,0.129862657320302
"818","EtOH",11.1378521126761,10.7083333333333,1.71075694269785,71,1.30795907531461,0.155226184025157
"818","Rapa",13.92625,14.5833333333333,5.51788900862069,30,2.34901873313533,0.428870182713475
"819","EtOH",8.56010784313725,8.5,0.210055899276377,85,0.458318556548147,0.0497116271493876
"819","Rapa",12.2815880503145,11.5416666666667,8.01928538365788,53,2.83183427898913,0.388982353571176
"822","EtOH",8.96820482866044,8.5,0.503102015891034,107,0.709296846102557,0.0685703142692348
"822","Rapa",13.7241421568627,13.4708333333333,2.57476044730392,51,1.60460600999246,0.224689783850409
"83","EtOH",9.31666666666667,9.55416666666667,0.657539141414141,166,0.810887872282069,0.0629371048360618
"83","Rapa",10.8704377637131,10.625,3.50260544673892,158,1.87152489877611,0.148890526573758
"843","EtOH",9.2641173245614,9.46916666666667,0.688870407255117,76,0.829982172853801,0.0952054846423691
"843","Rapa",14.2646162280702,13.5604166666667,5.74166741161392,38,2.396177666955,0.388711346415235
"85","EtOH",10.8425724637681,9.625,5.84090832800512,69,2.41679712181331,0.290948183244727
"85","Rapa",13.299158496732,12.5541666666667,11.4409993089597,51,3.38245462777547,0.473638385040237
"850","EtOH",9.59775,9.5125,1.56339300595238,50,1.25035715135812,0.176827204126084
"850","Rapa",11.2248427672956,11.5541666666667,0.298939945422109,53,0.54675400814453,0.0751024388999388
"853","EtOH",10.1405984848485,10.5416666666667,0.309788011363636,110,0.556586032310941,0.0530683959505121
"853","Rapa",10.8672207446808,10.5416666666667,1.19155436972931,94,1.09158342316532,0.112588233471661
"859","EtOH",8.04159259259259,7.5575,0.390941973227909,90,0.62525352716151,0.0659075086961442
"859","Rapa",11.0926357677903,10.5416666666667,1.48381494939742,89,1.21811943149981,0.129120401498435
"88","EtOH",9.10215053763441,8.59583333333333,0.626629156439926,93,0.791599113465854,0.0820850042255519
"88","Rapa",9.90399305555556,9.55416666666667,5.62870619987285,72,2.37248945200455,0.279600563300996
"890","EtOH",8.68275709219858,8.5125,0.521915546992171,94,0.722437227025415,0.07451371050423
"890","Rapa",9.26508960573477,9.41666666666667,0.724362125790543,93,0.851094663237024,0.0882544053419653
"892","EtOH",9.69623611111111,9.46916666666667,0.498652695189893,60,0.706153450172052,0.0911640184127756
"892","Rapa",10.9869350282486,10.5416666666667,3.84991838339746,59,1.9621208890885,0.255446381763158
"907","EtOH",9.98402777777778,9.5125,0.840396966115052,48,0.916731676181778,0.132318820004552
"907","Rapa",11.9266748366013,11.5541666666667,1.84392847562636,51,1.35791327986229,0.190145892162832
"91","EtOH",8.21660539215686,7.72083333333333,1.47360904971557,136,1.21392299991209,0.104093038478437
"91","Rapa",9.89281746031746,8.59583333333333,12.0924891477157,105,3.47742564948781,0.339361994500825
"911","EtOH",9.58482905982906,9.41666666666667,0.653478421796714,117,0.808380122094002,0.0747347687250196
"911","Rapa",13.3530117753623,13.4708333333333,5.09625098864187,92,2.25748776046336,0.235359368807018
"913","EtOH",9.29655487804878,9.41666666666667,0.377578678192646,82,0.614474310441573,0.0678573358358519
"913","Rapa",11.9409136546185,11.4645833333333,1.28146294655247,83,1.13201720241014,0.124255030518148
"93","EtOH",9.89166666666667,9.625,1.071640917603,90,1.03520090687895,0.109119756720311
"93","Rapa",11.6290458937198,11.5833333333333,1.54918197049351,69,1.24466138788568,0.149839622983535
"Canton-S","EtOH",7.9116155394525,7.67916666666667,0.576968357346138,1035,0.759584331951455,0.023610534726958
"Canton-S","Rapa",9.54837630975769,9.5125,2.26545293895614,1018,1.50514216569603,0.0471741010968811
"W1118","EtOH",8.30165255566008,8.5,0.924957226731012,1063,0.961746966062806,0.0294981101285837
"W1118","Rapa",9.1658535278602,9.41666666666667,1.16702561651284,1011,1.08028959844703,0.0339754029912851
