Sample Name,062618QPJ1,062618QPJ2,062618QPJ3,062618QPJ4,062618QPJ5,062618QPJ6,062618QPJ7,062618QPJ8,062618QPJ9,062618QPJ10,062618QPJ11,062618QPJ12,062618QPJ13,062618QPJ14,062618QPJ15,062618QPJ16,062618QPJ17,062618QPJ18,062618QPJ19,062618QPJ20,062618QPJ21,062618QPJ22,062618QPJ23,062618QPJ24,062618QPJ25
Time,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8
glyoxylate,469374.5489,418214.8939,488128.5297,435168.0492,355166.7137,29560.80963,312148.5044,282065.8511,211702.979,33734.04825,20110.75035,33990.66467,278799.4045,254673.3489,332797.9728,260064.5694,253850.5742,19186.43687,225068.5325,23194.17679,239626.9169,313381.3648,318488.5864,29077.83474,290425.6177
glycolate,230027.6937,32996.67544,225278.6913,217193.2847,205416.8459,251688.8769,231209.0194,170117.3101,168590.6928,223445.2258,173620.4726,220260.9786,10074.15659,224935.7457,190813.8411,178479.905,21685.29115,48791.76617,48947.35056,23813.52436,192909.6762,155953.0727,147505.9153,215270.3425,22521.5898
pyruvate,173890.2871,152388.47,75355.3178,114685.3236,114630.0498,65114.51832,N/A,66930.2155,94363.84307,42622.69805,N/A,23634.57431,29867.11733,57101.65771,65020.89814,58494.24707,48882.11124,64557.01385,67238.5357,68165.32536,32860.76712,78225.78834,76193.6751,44366.6965,66697.30171
lactate,75854869.08,76501358.78,58536824.59,62249616.13,74794926.55,35771480.63,28513078.07,68136017.18,100951231.9,79327269.96,19100621.06,26570845.01,20161280.92,25874224.57,31953801.67,76184732.58,25675030.49,53283844.05,64004188.86,51200410.16,42320115.09,40971617.52,32993493.22,61909116.18,24361230.85
2-oxobutanoate,1383120.24,1306224.973,1243081.305,1396501.948,1115271.714,1959074.802,1507734.703,2561985.799,3351267.443,2273192.458,1616872.71,2543562.796,1690531.212,1931787.942,3272869.145,4022505.313,1951276.298,2383331.12,2187480.568,2783718.343,2804465.476,2035581.718,2176464.683,2179960.064,2615093.777
acetoacetate,1242742.619,1054483.204,1154784.47,1257138.686,1110636.044,1876513.343,1618358.879,2423702.239,3286106.721,2162989.069,1450218.781,2277608.824,1705276.34,1866645.693,3293400.846,3887995.888,1911988.44,2520788.231,1922035.215,2802272.033,2563665.118,2008212.214,1975162.346,1965946.895,2516616.255
glycerate,1366833.711,1270329.083,1295107.42,1174529.21,1103227.589,813336.703,809177.3212,662979.9487,762217.3431,709681.7816,654832.2627,635101.8364,580463.6192,829208.8625,643496.7665,567871.8615,573677.5381,628370.6477,717832.3596,692614.7233,607746.1438,545877.8567,624137.9381,613708.8341,640111.8653
uracil,8786009.449,6793972.488,6136369.061,5455760.503,6413259.184,2911018.797,3583761.198,7481904.068,10402599.99,5240343.815,2046220.614,2135457.277,1963458.454,2682622.261,4051990.712,3758274.954,1078473.41,1794982.911,1130473.16,2281893.73,2356868.67,1343366.328,1040394.761,1148163.902,1684624.445
fumarate,23097535.45,23546655.96,24728495.38,23563299.71,23636202.01,16714758.46,13921046.74,14783869.82,14443650.23,12339045.07,13341742.65,14671801.99,13922003.53,15207837.36,15520630.07,19734021,16270239.68,16631894.97,16190944.83,14333557.68,16793401.91,16009159.45,16029214.07,16905117.89,17156512.22
Maleic acid,22143626.57,22895312.51,21953913.46,22096262.43,25670179.37,17433575.49,13086096.99,15774198.68,13520712.85,11175275.85,15175369.01,14740608.61,13304774.83,14960462.49,16756168.67,20021362.86,14666093.91,16513486.04,15045728.04,14066051.89,16672544.57,16331172.73,16685143.55,15690966.06,14986334.09
2-keto-isovalerate,22347083.11,20811807.04,20944552.01,21572401.29,23081338.13,15733715.47,14069404.05,14370893.61,13422137.02,11988138.92,14500530.61,13724584.16,12880400.14,13985782.51,14867695.76,18475181.21,15141130.52,16392626.08,14500969.42,13733151.6,16041662.96,14991037.63,16370343.41,16071376.12,14265523.6
Guanidoacetic acid,89280.31233,56270.21062,16900.94702,65413.18962,45001.73964,659633.7427,630852.7946,13437.26796,989959.4947,8018.53372,660415.3707,717375.8859,506426.6781,656734.7162,944898.6411,748367.9224,555123.8523,574561.7218,793713.5712,674230.899,653501.6991,761825.9054,628847.5404,589771.7772,729570.3113
succinate,25518519.76,26584099.43,17599623.25,18280825.57,27303095.47,18405521.68,14908222.86,16645539.91,15576755.05,16637172.9,23472208.72,23918401.3,24817179.83,23737054.81,25065927.34,22372322.62,27711610,24778766.42,28822319.99,24154145.44,29832187.97,32491901.89,33102861.23,26958880.34,27253151.21
Methylmalonic acid,27967239.35,30002920.36,20559797.51,20460483.29,30339277.1,20887982.96,17276592.72,19001893.46,17017446.33,18357113.9,26129641.78,26237963.38,28129889.5,27728792.64,27498388.72,25796745.79,32175487.15,26569179.14,32761081.88,27662777.74,33487508.44,37027501.83,36507771.61,30354030.52,30135298.85
3-S-methylthiopropionate,56491.18055,56560.3633,61625.64718,43914.49563,46471.71125,8202.500901,75053.61044,53041.70586,51064.25723,49828.36527,51055.97926,5041.110158,25261.53064,38836.29891,39656.47666,23658.36184,16862.4032,32944.60882,32915.04282,11114.80403,28712.17513,6278.571551,5075.057508,31938.15543,20329.89557
nicotinate,1485208.262,1481321.67,1506703.114,1582198.155,1395634.275,2017475.146,2109302.389,3028505.905,2099540.191,3010049.658,2096301.405,2335799.114,2742504.666,2212238.355,2030284.482,1974278.433,2367513.913,2481648.524,2813445.226,2014266.089,1735423.078,1782638.1,2533825.15,1753662.022,1902460.851
taurine,38885524.26,40132927.78,27285447.81,30421552.11,29671064.86,30244774.47,29799989.98,25091122.58,27136287.31,31196903.69,31993439.83,34710293.77,25270224.4,29824113.58,24911828.35,26501179,30338912.61,29115016.8,36190822.56,29169121.25,28663469.12,25153151.97,24983184.46,29923498.83,31594642.83
Pyroglutamic acid,895034.6551,955289.0849,1111276.497,808120.7931,223511.4205,238179.5961,272420.1968,278713.9662,1514559.446,199214.2382,267524.9067,255303.3634,237885.4773,283602.3913,229371.758,1609006.988,1266807.515,1564497.287,2025022.953,1665519.446,202007.5853,2027981.041,185491.4822,1734819.664,1871860.819
Citraconic acid/itaconic acid,12771050.82,11473555.92,10834910.06,11561965.55,10216677.41,17341754.56,16888173.81,22052359.61,31143855.85,24462289.72,19294661.21,25356504.03,16519381.83,17725479.47,27200731.9,35825039.74,23561085.86,25482163.92,24350166.24,30728838.75,29825637.11,23083428.95,25136783.01,26307183.64,27562809.15
2-ketohaxanoic acid,3001854.565,2283738.648,2453057.096,2549944.616,2224801.948,3279999.435,2479425.523,5869362.583,9709939.756,6379168.198,2380403.886,4384958.937,1883667.093,3076638.622,6968961.513,8235113.667,2204663.258,4439648.584,4230169.819,6981207.454,4523156.027,2789693.56,2874480.812,3641997.422,3997015.962
N-Acetyl-L-alanine,24692.84089,N/A,59667.89227,16028.2629,23839.18934,53028.77206,N/A,73393.07561,58458.3817,40604.05716,38777.67344,65278.12698,38908.40072,N/A,N/A,22877.48207,64673.70947,39528.96889,569756.3525,53539.22531,35783.392,N/A,50444.33372,N/A,6782.547253
oxaloacetate,7118740.513,7152659.8,7015662.202,7580298.14,7318888.376,11018841.8,12443117.37,9846860.778,8177740.239,10112083.92,15782265.9,13295048.53,11883736.85,11223674.36,8607141.777,9818888.9,13317237.63,9410184.402,12399188.93,13822879.58,11374909.13,11326082.89,12346838.65,12930361.27,13668159.29
Hydroxyisocaproic acid,547543.8337,453640.4015,508695.72,403309.6061,528070.7745,298420.6715,382009.837,393866.6698,393725.3637,369037.2787,319836.1387,289082.3485,260925.5609,292227.7495,339636.0152,334575.9524,264487.953,266503.2228,275803.5441,240892.0402,300312.9738,276062.6542,281471.2754,288233.5289,230123.6307
malate,109214191.8,115254892.6,106510596,113779530.8,116119681.4,89525649.32,72832094.4,81577734.6,77327046.06,73226898.98,74950279.32,84668255.2,81220069.25,84059402.26,86151177.2,99827191.51,88346054.55,95497866.27,86535600.9,84588252.25,91843741.04,85338464.27,86686334.63,90104998.55,88652375.17
hypoxanthine,750881.2402,898247.7927,760588.8349,649551.492,859619.0663,859980.0628,1230608.82,1328906.028,2534428.978,1779656.363,667058.3374,1096448.733,707481.9047,1299026.647,1150582.056,1269986.633,445097.0025,645267.5437,439358.4256,764826.3029,1028624.304,426174.228,242691.6091,418693.2239,799284.4597
anthranilate,29119.22454,88049.98028,49756.33815,67003.51591,66020.12568,50432.6276,46106.89414,49210.89307,29422.36519,60486.47111,50697.91594,47767.09586,96516.26723,40163.65443,19031.59551,22342.21358,50715.47475,25508.91886,54420.07434,32401.17473,30912.40785,36109.52543,44480.23605,54605.62074,13058.16144
p-aminobenzoate,82869.68698,51442.70338,81250.08698,50377.51673,33198.12694,63769.48944,64113.64744,33357.10995,55414.39833,55802.9257,44681.64437,45611.67957,38771.0257,30000.90906,27683.81341,20976.74254,46015.89417,52759.53987,43501.45705,18898.55103,56487.45523,47483.37773,77791.69783,43344.47284,14560.98498
p-hydroxybenzoate,1729228.176,2497670.641,2915609.099,2914631.743,2182582.058,4063301.253,3982662.389,3612065.369,2020130.504,3111377.732,3860834.798,3725128.477,3704855.719,1918366.975,2571445.173,3880003.752,4096105.58,4636363.023,4139585.509,3480299.645,3070691.589,4087688.461,3776696.818,5031874.928,3061209.802
acetylphosphate,770107.7901,790593.6023,622623.4371,586953.4652,578912.7937,297392.8234,343895.2499,238775.4384,297640.1462,295125.8553,320730.9115,240359.7088,229735.1286,301236.9312,238591.5568,215012.6731,235033.4134,216100.0492,252091.7229,196510.8463,311193.9323,199580.3484,204449.6827,195357.8047,250197.6617
Carbamoyl phosphate,102258464.1,78265300.86,57857443.01,76314921.15,66679221.61,79952671.3,85814984.19,57456044.31,43902152.62,81378246.65,76614814.47,62379889.51,47289377.07,69824265.92,63825766.04,81734134.74,81556827.6,67791609.54,62138928.53,103175425.7,73209340.61,78889153.2,65630416.16,80827459.24,74465480.65
a-ketoglutarate,8655095.199,9385642.769,10631191.9,8743123.937,8967939.726,12073809.59,11055215.47,12532039.68,11134337.56,11079006.05,12318847.14,11854120.14,11690477.19,13510859.97,12593206.96,14131340.34,10840418.27,11900448.55,11121116.19,10481694.24,11454290.99,10688456.53,11284186.24,11276343.36,10846067.21
Phenylpropiolic acid,18618152.97,20774099.97,25857956.08,19168247.1,21227031.28,28622889.63,27401757.75,29285371.12,24361636.68,24805120.98,27160119.73,26173615.88,27869406.69,28062562.64,28386582.83,27727739.94,23794795.37,25454246.4,22411971.81,22968122.87,25502485.11,22600386.75,25193866.57,27133363.49,23739718.4
2-oxo-4-methylthiobutanoate,14741.39302,N/A,23521.24838,6325.414256,N/A,17064.77779,6536.956486,10140.78919,9340.622895,10135.46247,5574.699458,16468.25752,14053.20803,25319.92432,17942.36268,7697.753457,11034.27374,20673.07817,N/A,13385.65498,19698.16926,7752.249934,18422.48722,6550.314655,10752.86114
2-Hydroxy-2-methylbutanedioic acid,22410112.6,20654383.78,20344302.38,20852824.68,19253298.17,27176269.18,20680525.19,43004689.1,66413597.66,50671342.87,20039618.05,36136738.17,16554175.68,26643374.88,48473193.19,59544398.56,18566003.06,35076855.89,34694575.99,48204107.49,37749652.3,25189955.98,25006474.42,26859249.98,29932087.93
3-methylphenylacetic acid,68461.94125,9180.821374,164736.4159,122074.0574,11021.71363,103243.7891,111450.7232,19822.31296,202889.9092,230652.5163,156049.2216,10826.19383,10269.70763,104501.4706,126447.6517,191546.5315,96620.66998,12548.99731,163633.7303,142018.0393,150432.9578,55672.63027,21991.77506,9128.851423,98758.65734
xanthine,2633238.422,2528183.174,2153878.318,1806275.428,2315348.484,1785940.914,2313220.817,2557311.429,5004855.794,3436967.383,1263856.18,1942613.623,1257693.731,2215170.568,2539753.845,1913025.308,865550.1924,1244257.22,954814.3637,1652821.063,1763405.906,735508.188,817740.5064,845636.2214,1147443.294
Hydroxyphenylacetic acid,192060.5074,197680.1946,240210.5934,226794.9993,234433.6368,177408.6311,223182.1759,239882.6848,285078.2758,230163.172,212500.0172,241691.6207,123127.5792,119518.7065,147878.112,198484.1522,139664.6118,144522.013,262734.0481,185296.1314,114922.0125,107768.3452,135308.1307,160493.1155,150964.033
"2,3-dihydroxybenzoic acid",240998.7125,240947.125,223503.503,353965.0893,190152.9267,302294.496,337548.9335,219717.7514,161400.7945,330025.5001,231567.0844,276028.5972,162956.6771,248661.2413,212419.5961,212271.0507,237470.9292,198028.3791,163055.9358,191721.8995,181320.8274,199276.9794,263713.1787,201553.1308,197271.2263
orotate,558751.3242,540993.2863,312406.5868,454139.8974,394383.7274,804269.588,1015034.279,534347.5973,171567.393,705732.3587,1708078.613,1640854.761,1384619.023,1570331.078,856063.7871,1362085.04,1649160.126,1658009.139,1946103.679,1632577.451,1581391.188,1828329.597,1718715.01,1624566.122,1734372.674
dihydroorotate,989321.8447,500028.374,390681.3311,373397.5659,499245.4692,699320.8752,509096.6218,641494.197,531315.756,593228.696,1933407.82,1899255.239,657468.7053,1624498.407,1432271.697,2059234.783,758847.3245,622600.152,738105.0913,644107.7037,1526486.232,1688374.792,612408.9403,695795.6357,2095368.871
allantoin,3980562.867,3390307.619,5006739.053,4779976.541,3349819.407,8216909.107,10397478.53,7603311.758,9230559.835,8672142.22,7802801.609,10809028.56,7931893.038,13526098.18,10048765.74,11344792.71,5709012.109,6849992.775,8448549.446,6863167.909,8245141.779,6095958.251,6236928.5,12002410.97,9169915.18
Aminoadipic acid,3208638.352,2534942.219,1833181.324,2117808.532,2281482.363,2273890.529,1911224.322,1786085.396,1979989.816,1871272.173,2019154.317,1310038.087,1656695.948,1586797.521,911407.6201,864676.7932,1122700.927,1170396.405,1328718.959,1114244.824,779211.9071,678816.3953,707596.3858,566355.1868,882823.4134
Indole-3-carboxylic acid,1498194.828,2494774.231,1698199.476,2131918.59,2670282.518,1963945.881,2119356.602,1709808.176,2235858.841,2097624.124,1998924.674,1367887.276,1674351.669,1091052.231,1120386.762,763884.8953,872122.5822,1135657.411,1425911.394,1026726.19,850167.0561,760145.0887,698752.8156,580821.7361,792979.9832
phenylpyruvate,12239.6904,18042.54864,N/A,7634.822502,N/A,3384.290777,4812.09197,18134.83749,9606.949605,11633.83701,7934.19999,6657.584829,6552.036309,7470.647396,6998.105464,N/A,13378.7267,N/A,17033.85286,15351.12098,7603.412717,7188.364889,8366.399189,9859.85849,6769.833844
Atrolactic acid,137406.1918,105568.7827,150543.4253,145643.0997,133622.9135,24947.57609,27853.14757,24946.4819,58853.81458,28515.84576,26060.70789,33410.71074,18802.01754,55031.08813,42009.86538,22903.37846,13439.11746,26122.16094,45977.31563,12315.87665,35918.22798,19060.31121,16260.58657,13724.40189,22407.94031
Phenyllactic acid,1590081.626,1731474.472,1322517.945,1523139.693,1994161.327,157877.6839,200957.7621,296428.6092,599762.114,282074.9199,117876.6864,167017.9487,156171.4429,404310.1153,430715.7351,207635.8996,114703.7919,124555.322,220424.092,100654.3805,259258.2978,92841.46394,94135.04798,119522.1892,233180.7743
quinolinate,2344339.783,1129981.643,1327481.902,2847195.886,982570.559,1987832.31,1511568.35,2085367.929,1043065.212,1609748.895,2495258.743,1511194.18,1816293.728,2791353.399,1230115.286,1444512.498,1617195.179,1735055.557,1639644.717,1433947.25,1225319.679,1292946.546,1232915.657,1533391.319,1395465.083
phosphoenolpyruvate,1972803.163,1937138.897,2346028.317,2022735.827,1975029.746,2124049.908,2677559.314,1830470.378,2212885.682,1390444.545,3235888.08,2543598.435,2396810.717,2618981.464,1795753.936,3287155.888,4368639.946,3629010.808,3688151.483,3285825.862,3601674.726,4622574.173,5587321.173,4096461.643,5289835.658
Uric acid,6053298.441,6647084.202,4496101.566,4249310.644,4596024.278,4108119.455,4273170.618,4344659.428,7494786.817,7018681.553,2762570.519,3414465.884,3548204.864,6312404.249,4032542.343,4426294.366,3164094.151,3447121.203,3862166.377,4638112.398,6351575.032,3944769.861,3127292.468,3249475.192,5109975.1
dihydroxy-acetone-phosphate,3091339.037,3679390.386,2679551.804,3611236.697,3471391.336,2616475.782,2363325.297,1823478.345,1874407.433,1882061.385,2543843.363,2578372.492,3293175.368,2264215.35,1650808.893,2412287.331,3737152.101,2919098.765,2510118.507,2136368.645,2251450.561,2163970.86,2499854.342,3028440.151,2395379.709
D-glyceraldehdye-3-phosphate,2894284.182,3208900.289,2708725.373,3078566.293,3241631.799,2534990.756,2372163.539,1588500.857,1711112.98,1536604.922,2213355.304,2407017.504,2997466.048,2074856.775,1622287.852,2235387.152,3541818.248,2735587.146,2236113.44,2082382.992,2118232.781,2023163.833,2412008.712,2847027.484,2245463.3
sn-glycerol-3-phosphate,95913041.27,96375444.77,78209476.51,81091521.71,88087844.84,73390794.29,63995487.11,61458816.28,81585421.87,70383920.74,61721851.15,62955382.46,57519216.93,71099122.89,62444760.87,62410807.99,56314780.29,69342136.01,83222938.54,54521211.65,55702199.05,43979831.15,47391359.01,53165665.73,55929789.37
shikimate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aconitate,4865402.425,4728736.635,3255847.031,4353637.993,5087448.133,7596664.49,9995951.267,6033530.536,4491769.111,6817846.603,13422799.51,13277433.14,10370725.84,10505443.81,7463185.921,11668340.61,16712916.46,15222128.52,13588572,13303946.97,16700030.36,13704711.3,22279676.2,19285286.48,20963217.17
allantoate,365747.4904,221732.1103,168423.8439,212374.55,178944.9843,191573.2694,157250.0585,175048.0796,347485.1483,195528.4934,111870.5985,115593.6954,65830.09393,159143.0163,166638.5101,74233.16674,99073.66753,81728.67187,96580.42001,55491.22251,68701.41474,53926.04899,69248.76471,54444.53991,110577.0957
Ascorbic acid,24489731.21,12867463.38,2211795.074,9837240.132,5144516.885,7127087.381,14626158.47,2799244.129,9570858.104,11700982.88,6728464.427,7173460.805,4105519.355,11873561.78,3748944.997,4062792.735,3288258.33,3915486.296,334796.8832,6470600.111,2610478.434,1391723.944,995505.422,607228.5568,2829972.813
2-Isopropylmalic acid,51204751.41,25440362.68,5250639.532,15777869.75,13627739.66,14256381.5,32516960.33,5826812.218,14438106.57,21268780.37,15878333.76,12404128.41,8811044.843,25435269.15,7099872.96,7027289.962,6470767.1,8276478.189,1148530.117,15929353.13,5796358.619,3369787.357,2186613.055,1153905.373,6229927.618
N-carbamoyl-L-aspartate-nega,256797.8568,266059.1619,115374.4294,184934.3783,143977.5106,189202.2352,169919.5856,189115.2898,333272.8441,199107.0083,101514.6849,87936.49977,67609.61733,134067.8583,158579.3503,53631.38421,49418.92116,108048.2033,80701.6771,108351.8966,80174.17668,64663.46275,67966.8507,48974.3429,100222.1367
Pyrophosphate,1274688.3,1226721.636,951877.8674,856005.852,857898.2266,1458360.012,1017143.534,961577.5564,1155244.001,764712.3981,754922.4024,933160.7998,712301.9865,1043731.985,811274.1859,1822050.835,972616.9561,962039.3236,1168493.363,909484.5616,1102112.495,1042166.813,1257020.647,1478979.542,1250910.75
glucono-?-lactone,191371.7138,284876.9816,237455.6582,160162.6918,110765.7913,88794.77173,110911.8447,66031.9501,68221.53053,47963.18018,60079.79452,32273.35404,37451.17124,90411.55759,43005.81222,33689.88377,54669.86014,34115.39181,58722.77941,49437.91547,12142.19512,29257.98694,24309.2717,25214.5658,33250.81124
myo-inositol,6037408.665,5918561.369,5995801.082,4568921.831,4932411.261,2646852.857,3085673.985,2300012.115,2430329.455,3030861.752,1955670.624,1781743.289,1688846.003,2037604.242,1827362.82,1319681.703,1651931.704,1311554.757,1758208.548,1174463.345,1480912.822,881263.3915,1001717.818,1126688.564,1536241.816
hydroxyphenylpyruvate,164575.3336,153210.3426,187487.3178,158102.6909,255407.0083,35313.50287,44736.30931,49884.81081,109735.5068,62377.36274,27221.78856,17419.72758,43568.66767,51579.38856,43653.33741,27508.46015,22481.98482,37441.73602,23584.75452,13892.78101,30424.74712,36695.65518,34582.75395,23117.63197,20960.98782
homocysteic acid,173685.0979,199796.4874,110621.2893,131856.118,172036.5282,131356.4292,120342.9963,103448.817,112823.3557,154938.8816,138257.3574,108526.1658,93255.82595,149947.7012,66432.3178,84333.85075,87498.12492,68889.49867,114225.457,94527.49448,80372.25125,65208.40932,64271.11899,63977.58577,83638.35262
4-Pyridoxic acid,178120.4121,211150.7076,359806.4643,168756.3243,138358.2054,413658.8537,316893.8572,143732.992,211765.3226,119073.4017,134633.2161,142683.591,204302.1135,N/A,122379.372,108289.9379,119424.9308,100735.8177,123283.1213,156586.7113,266866.0028,153201.108,89175.12824,118989.9513,236100.5991
3-phosphoglycerate,6554872.665,6808903.108,6029043.621,6904321.479,5921719.656,6725256.529,6189946.003,5587058.957,5976707.214,4086057.13,7714765.308,6777416.601,7750564.646,7149304.751,6390660.96,8821059.011,10254095.74,9522507.529,8554458.644,8664254.903,10413405.78,12471889.61,13577124.7,12472416.39,12059367.82
Indoleacrylic acid,57243.28978,96131.39332,375046.6697,62797.31688,480120.0693,N/A,330016.8223,300465.5271,9188.524539,250107.8917,64600.11832,271861.9959,245891.4796,247281.7915,303241.521,220561.9344,253827.7769,185635.7569,293870.0149,89316.47483,248199.4238,19054.35265,214495.7255,101064.3681,349025.5188
Kynurenic acid,530015.4962,565939.0166,395903.4379,418908.4271,413996.1317,304913.8664,398931.9223,215073.2985,215432.2476,158159.4034,263031.4884,161992.1716,224162.2053,190407.8385,122312.9233,167247.2164,226330.5325,206707.048,242824.0967,212379.3063,179273.5376,221024.5025,237006.3906,302558.9754,259249.152
citrate-isocitrate,104342783.7,112053028.4,93515585.61,122558298,98251905.67,163453323.8,189976884.5,170416828.1,132834244.5,194337033.6,269995894.6,263491702.4,236022029.9,250070627.5,238534227.5,275289788.8,295988666.3,268279809.9,260277309.8,265445054.4,279142640.7,275794923.9,284370958.3,270573846.8,291398925.2
isocitrate,1028591.187,834992.5331,460715.273,647656.9447,818426.4151,1218837.849,1568886.501,876297.1482,799508.0165,976251.1433,2089201.975,1661136.829,1764134.847,1554684.261,1245828.163,1675475.926,2395737.824,2297334.983,2135585.97,2073286.516,2399388.245,2180244.416,2774176.024,2178518.798,2332803.473
citrate,58383695.74,56310089.49,35351363.32,49486472.7,44545062.87,95361697.1,103816990.3,78855009.43,67688625.03,97175106.86,142732163.6,144001421.3,127503963,132046617.9,132886295.9,134798899.6,164174708,142565696,135978541,146875238.2,152641536.4,161818094.4,168551275.6,161602485.8,159138258.4
